Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Tina-an Sur to Poblacion 1,3014.77,104.29,87.1,-17.19,55.23,72.41,-0.57,14.85,8.33,4.5,307.63,5.13,569.13,9.49,Concrete,Very Good
Tina-an Sur to Poblacion 2,6045.59,104.29,87.1,-17.19,131.94,149.13,-0.28,25.64,8.33,4.14,616.9,10.28,1240.86,20.68,Concrete,Very Good
Tina-an Sur to Poblacion 3,5146.51,104.67,87.1,-17.57,91.68,109.25,-0.34,18.16,8.33,4.14,525.16,8.76,1057.54,17.63,Concrete,Very Good
Tina-an Sur to Poblacion 4,8637.61,104.49,87.05,-17.44,184.96,202.4,-0.2,17.08,8.33,4.15,881.39,14.69,1769.94,29.5,Concrete,Very Good
Tina-an Sur to Poblacion 5,9655.03,104.3,87.05,-17.25,214.47,231.72,-0.18,17.08,8.33,4.15,985.21,16.42,1977.49,32.95,Concrete,Very Good
Ayabang to Poblacion 1,15324.91,77.89,287.61,209.72,507.57,297.86,1.37,44.46,8.33,5.55,1563.77,26.06,2348.98,39.15,Concrete,Very Good
Ayabang to Poblacion 2,16721.93,287.96,86.91,-201.06,349.72,550.78,-1.21,32.59,8.33,4.63,1706.32,28.44,3070.93,51.18,Concrete,Very Good
Ayabang to Poblacion 3,16478.32,287.59,86.98,-200.61,316.06,516.67,-1.22,44.44,8.33,4.74,1681.46,28.02,2957.31,49.29,Concrete,Very Good
Banagan to Poblacion 1,20580.26,305.5,86.91,-218.6,583.88,802.47,-1.07,33.79,8.33,4.17,2100.03,35.0,4198.92,69.98,Concrete,Very Good
Banagan to Poblacion 2,16696.38,77.98,305.61,227.63,704.87,477.24,1.37,33.84,8.33,5.9,1703.71,28.4,2407.13,40.12,Concrete,Very Good
Banagan to Poblacion 3,19647.25,77.98,305.61,227.63,887.99,660.36,1.17,34.41,8.33,4.82,2004.82,33.41,3467.29,57.79,Concrete,Very Good
Banagan to Poblacion 4,19416.46,305.58,86.98,-218.6,521.38,739.98,-1.13,44.44,8.33,4.62,1981.27,33.02,3574.34,59.57,Concrete,Very Good
Gines to Poblacion 1,12726.59,77.98,278.61,200.62,441.97,241.35,1.58,32.71,8.33,6.56,1298.63,21.64,1649.12,27.49,Concrete,Very Good
Gines to Poblacion 2,15980.47,77.89,278.7,200.8,538.85,338.05,1.26,44.46,8.33,5.18,1630.66,27.17,2623.22,43.72,Concrete,Very Good
Gines to Poblacion 3,18216.26,77.99,278.61,200.61,633.18,432.57,1.11,32.8,8.33,4.21,1858.81,30.98,3675.44,61.26,Concrete,Very Good
Igcadios to Poblacion 1,13292.39,77.98,242.76,164.78,475.15,310.37,1.24,32.71,8.33,5.96,1356.36,22.61,1896.45,31.61,Concrete,Very Good
Igcadios to Poblacion 2,15021.97,242.85,86.91,-155.94,283.72,439.66,-1.04,31.99,8.33,4.8,1532.86,25.55,2657.42,44.29,Concrete,Very Good
Igcadios to Poblacion 3,14575.18,77.89,241.59,163.7,438.68,274.98,1.13,69.27,8.33,5.35,1487.26,24.79,2314.41,38.57,Concrete,Very Good
Malublub to Poblacion 1,10479.66,175.91,87.29,-88.63,242.32,330.95,-0.85,45.2,8.33,5.44,1069.35,17.82,1638.03,27.3,Concrete,Very Good
Malublub to Poblacion 2,12988.89,77.98,175.81,97.83,400.5,302.67,0.76,32.71,8.33,4.31,1325.4,22.09,2564.48,42.74,Concrete,Very Good
Malublub to Poblacion 3,12802.37,77.98,175.81,97.83,417.56,319.73,0.77,32.71,8.33,4.42,1306.36,21.77,2460.62,41.01,Concrete,Very Good
Poblacion to Dugo 1,1371.0,72.69,87.05,14.35,32.88,18.53,1.05,12.81,8.33,6.93,139.9,2.33,168.28,2.8,Concrete,Very Good
Poblacion to Dugo 2,1490.33,72.69,87.05,14.35,36.66,22.31,0.96,12.81,8.33,6.47,152.07,2.53,195.68,3.26,Concrete,Very Good
Poblacion to Dugo 3,1376.74,72.69,87.05,14.35,33.32,18.96,1.04,12.81,8.33,6.9,140.48,2.34,169.52,2.82,Concrete,Very Good
Ticuan to Poblacion 1,13663.69,77.98,243.47,165.49,461.97,296.48,1.22,32.71,8.33,6.06,1394.26,23.24,1916.18,31.93,Concrete,Very Good
Ticuan to Poblacion 2,16911.07,77.89,243.51,165.61,561.44,395.82,0.98,44.46,8.33,4.63,1725.62,28.76,3107.08,51.78,Concrete,Very Good
Ticuan to Poblacion 3,19143.76,77.99,243.49,165.5,654.7,489.2,0.87,32.8,8.33,4.09,1953.44,32.56,3975.88,66.27,Concrete,Very Good
Tunguan to Poblacion 1,14875.3,77.98,406.6,328.62,613.1,284.49,2.22,32.71,8.33,6.53,1517.89,25.3,1936.34,32.27,Concrete,Very Good
Tunguan to Poblacion 2,18757.22,406.57,86.91,-319.66,390.84,710.49,-1.71,32.59,8.33,4.9,1914.0,31.9,3253.23,54.22,Concrete,Very Good
Tunguan to Poblacion 3,17593.26,406.58,86.98,-319.6,328.07,647.67,-1.82,44.44,8.33,5.33,1795.23,29.92,2803.61,46.72,Concrete,Very Good
Tunguan to Poblacion 4,15294.22,77.98,406.6,328.62,639.42,310.8,2.16,36.29,8.33,6.39,1560.63,26.01,2035.35,33.92,Concrete,Very Good
Camando to Poblacion 1,4309.3,85.81,87.04,1.23,81.36,80.14,0.03,23.94,8.33,4.16,439.72,7.33,879.95,14.66,Concrete,Very Good
Camando to Poblacion 2,4032.36,87.36,87.19,-0.16,149.53,149.69,-0.0,26.32,8.33,4.16,411.47,6.86,823.0,13.72,Concrete,Very Good
Camando to Poblacion 3,11757.2,85.2,87.04,1.84,422.52,420.68,0.02,35.49,8.33,4.16,1199.72,19.99,2400.19,40.0,Concrete,Very Good
Lanag to Poblacion 1,3576.22,96.4,87.03,-9.37,59.2,68.57,-0.26,15.07,8.33,4.97,364.92,6.09,612.19,10.2,Concrete,Very Good
Lanag to Poblacion 2,13122.54,96.83,87.06,-9.77,363.32,373.09,-0.07,38.28,8.33,4.16,1339.04,22.32,2682.07,44.7,Concrete,Very Good
Lanag to Poblacion 3,10745.97,96.81,87.06,-9.75,251.65,261.4,-0.09,24.3,8.33,4.16,1096.53,18.27,2197.05,36.62,Concrete,Very Good
Nagbangi to Poblacion 1,4627.01,85.4,86.92,1.52,74.25,72.73,0.03,12.94,8.33,4.16,472.14,7.87,944.91,15.75,Concrete,Very Good
Nagbangi to Poblacion 2,13239.06,85.39,87.06,1.67,377.78,376.11,0.01,32.13,8.33,4.16,1350.92,22.52,2702.53,45.04,Concrete,Very Good
Nagbangi to Poblacion 3,8999.67,88.12,87.06,-1.06,210.21,211.28,-0.01,24.3,8.33,4.16,918.33,15.31,1837.1,30.62,Concrete,Very Good
Apian to Poblacion 1,10408.65,243.74,86.95,-156.8,280.76,437.55,-1.51,24.32,8.33,4.35,1062.11,17.71,2032.68,33.88,Concrete,Very Good
Apian to Poblacion 2,18663.81,244.8,87.05,-157.75,639.64,797.39,-0.85,38.54,8.33,4.09,1904.47,31.74,3874.75,64.58,Concrete,Very Good
Apian to Poblacion 3,11967.2,242.19,86.91,-155.28,190.91,346.19,-1.3,37.82,8.33,4.06,1221.14,20.35,2507.52,41.79,Concrete,Very Good
Dorog to Poblacion 1,12362.74,185.29,86.91,-98.38,173.07,271.45,-0.8,24.75,8.33,5.39,1261.5,21.03,1951.38,32.52,Concrete,Very Good
Dorog to Poblacion 2,12349.97,185.29,86.91,-98.38,172.23,270.61,-0.8,24.33,8.33,5.39,1260.2,21.0,1946.86,32.44,Concrete,Very Good
Dorog to Poblacion 3,16471.46,87.02,183.84,96.82,707.7,610.88,0.59,46.4,8.33,4.12,1680.76,28.02,3401.73,56.7,Concrete,Very Good
Dorog to Poblacion 4,19345.37,185.26,87.12,-98.15,669.93,768.08,-0.51,46.33,8.33,4.12,1974.01,32.9,3988.69,66.48,Concrete,Very Good
Dusacan to Poblacion 1,9850.91,139.39,86.91,-52.48,131.16,183.64,-0.53,16.56,8.33,5.09,1005.19,16.75,1644.55,27.41,Concrete,Very Good
Dusacan to Poblacion 2,11449.84,139.41,86.91,-52.51,211.95,264.45,-0.46,23.27,8.33,4.13,1168.35,19.47,2358.38,39.3,Concrete,Very Good
Marirong to Poblacion 1,13394.6,87.02,258.43,171.42,577.18,405.77,1.29,34.74,8.33,5.25,1366.8,22.78,2167.7,36.12,Concrete,Very Good
